,stream,stream_temp,exp_temp,mass,resp,Exp_Temp_K,log_resp,mass_g,x1,x2,log_mass_resp,lnmass,mass_resp
94,12,8.1,15,36.59212988,0.750030909,288.15,-0.28764086130097205,0.036592129880000004,-0.34640034653161195,40.2725042877652,-2.9875157513138473,3.599833186683833,0.05041251852502446
95,12,8.1,15,56.83917098,0.5676372120000001,288.15,-0.5662727755915291,0.05683917098,-0.34640034653161195,40.2725042877652,-3.5964420640699544,4.040225717971234,0.027421111650666595
96,12,8.1,20,13.00381459,0.949541637,293.15,-0.05177589819045549,0.01300381459,0.340492102517769,39.58561183871582,-1.9757079565049858,2.5652427444193737,0.1386631100348601
97,12,8.1,20,28.74174159,0.891866979,293.15,-0.11443828420423119,0.02874174159,0.340492102517769,39.58561183871582,-2.6332011419062105,3.3583504769359727,0.07184809776416302
98,12,8.1,20,33.70974549,0.9774944440000001,293.15,-0.02276267102623752,0.033709745490000005,0.340492102517769,39.58561183871582,-2.661102905450463,3.5177869792323007,0.06987111799653077
99,12,8.1,20,33.91075334,0.7415959459999999,293.15,-0.2989507313042253,0.03391075334,0.340492102517769,39.58561183871582,-2.941749860121454,3.523732171756305,0.052773301998357065
100,12,8.1,20,50.28195887,1.564693011,293.15,0.44768964564497155,0.05028195887,0.340492102517769,39.58561183871582,-2.490545110998636,3.917646342191477,0.08286478375644055
101,12,8.1,20,68.17698112,1.055422845,293.15,0.053941487576652555,0.06817698112,0.340492102517769,39.58561183871582,-3.112638753154876,4.222106987642038,0.044483419570801465
102,12,8.1,25,11.66485923,1.038750599,298.15,0.038018643841987707,0.01166485923,1.0043460659374541,38.92175787529614,-1.8044169844154752,2.456580837676617,0.16457037570705246
103,12,8.1,25,20.60469071,0.75724358,298.15,-0.2780703071562888,0.020604690709999998,1.0043460659374541,38.92175787529614,-2.5472093728391108,3.0255187542437625,0.07829986713646558
104,12,8.1,25,25.75633944,1.308471583,298.15,0.2688597255187675,0.02575633944,1.0043460659374541,38.92175787529614,-2.167650865971857,3.248680788654166,0.11444615072344201
105,12,8.1,25,25.84124376,1.272547729,298.15,0.24102097679414108,0.02584124376,1.0043460659374541,38.92175787529614,-2.19795788136809,3.2519718108829743,0.11102966275220254
106,12,8.1,25,29.56640466,1.60638497,298.15,0.4739862941468011,0.02956640466,1.0043460659374541,38.92175787529614,-2.0659927601424646,3.386638739052354,0.12669245289743072
107,12,8.1,25,37.87286762,1.8482900359999999,298.15,0.6142609067922209,0.03787286762,1.0043460659374541,38.92175787529614,-2.1114153145446966,3.6342349617825565,0.12106649794566397
108,12,8.1,25,53.03086799,2.042120787,298.15,0.7139888693153364,0.053030867989999994,1.0043460659374541,38.92175787529614,-2.2641667498746973,3.9708741589200454,0.10391658698499788
109,12,8.1,30,11.25541343,1.393328465,303.15,0.3316954638433124,0.011255413430000001,1.6463014984839848,38.279802442749606,-1.4839414411753933,2.4208492066916074,0.22674223367601082
110,12,8.1,30,12.56546209,1.645468964,303.15,0.4980254280869514,0.01256546209,1.6463014984839848,38.279802442749606,-1.4001885316262874,2.5309519462843184,0.24655047699722435
111,12,8.1,30,34.92700294,2.196706029,303.15,0.7869589788056393,0.03492700294,1.6463014984839848,38.279802442749606,-1.8779862111304018,3.553260253248055,0.152897699624071
112,12,8.1,30,37.22906379,1.7881218559999998,303.15,0.5811658265543513,0.037229063789999996,1.6463014984839848,38.279802442749606,-2.131651479130039,3.6170897409125202,0.11864119850999376
113,12,8.1,35,29.19809124,3.097550792,308.15,1.1306117321268319,0.02919809124,2.267424367910394,37.6586795733232,-1.3999657718565224,3.3741033386444723,0.24660540464232336
114,12,8.1,35,28.28986688,1.56289875,308.15,0.4465422700704386,0.02828986688,2.267424367910394,37.6586795733232,-2.060335489744117,3.3425036797527405,0.1274112175669588
115,12,8.1,35,28.47008089,1.314582761,308.15,0.2735193232667571,0.02847008089,2.267424367910394,37.6586795733232,-2.238120983624967,3.348853742522299,0.10665872970666607
116,12,8.1,35,39.84579032,1.838966273,308.15,0.609203605595388,0.03984579032,2.267424367910394,37.6586795733232,-2.1545589655394264,3.685016761513086,0.11595431918793246
117,12,8.1,35,50.92819348,3.114101948,308.15,1.1359408114757819,0.050928193479999995,2.267424367910394,37.6586795733232,-1.8118716907402908,3.9304166696214304,0.16334811335021046
